id,type,lat,lon,value,attractiveness
1,demand,19.417544814261685,-99.1083313638824,51.14,
2,demand,19.48668571676919,-99.17489531485029,33.49,
3,demand,19.460439273017368,-99.12404539677999,85.55,
4,demand,19.444439018103644,-99.12039419443406,42.86,
5,demand,19.391322236853092,-99.14230431944371,99.35,
6,demand,19.391319342440347,-99.10482669172504,17.84,
7,demand,19.379570033460187,-99.08107595822771,9.52,
8,demand,19.47654113749299,-99.08213177845118,109.89,
9,demand,19.444733801409186,-99.1390992754315,244.63,
10,demand,19.457568709335526,-99.17961143449911,113.41,
11,demand,19.375070139315497,-99.07501905612452,124.82,
12,demand,19.488989182259438,-99.09253222962649,88.34,
13,demand,19.47249311689605,-99.17824047825562,94.75,
14,demand,19.398080693281393,-99.08269897408591,21.34,
15,demand,19.394418996064854,-99.08881243655254,44.3,
16,demand,19.394608541182414,-99.13093943314487,191.3,
17,demand,19.409109069155146,-99.12224694771061,64.53,
18,demand,19.43557077179587,-99.14531967553559,188.73,
19,demand,19.424433402237053,-99.18662860334136,92.82,
20,demand,19.407547496823767,-99.15297633100249,96.35,
21,demand,19.446022347366686,-99.09685758616824,64.93,
22,demand,19.389339263278245,-99.19264415723946,137.91,
23,demand,19.407657357824228,-99.15318009939706,161.6,
24,demand,19.416563421195246,-99.14541975676909,42.2,
25,demand,19.427328398106045,-99.12871252764745,23.55,
26,demand,19.46682111536716,-99.08281732603047,12.12,
27,demand,19.396560853859004,-99.15163848067608,120.61,
28,demand,19.434308132609633,-99.15156561577245,111.02,
29,demand,19.443689748263445,-99.10469985022684,370.07,
30,demand,19.3781740495264,-99.13893384709323,88.73,
31,demand,19.445505382228173,-99.1662474212472,77.11,
32,demand,19.393062894842476,-99.13890725806408,101.81,
33,demand,19.380406191158237,-99.17629715755443,105.87,
34,demand,19.4864662644704,-99.17203356161926,72.54,
35,demand,19.488475843968946,-99.13339586727126,43.45,
36,demand,19.469607681773976,-99.14292894605946,85.17,
37,demand,19.409153652300805,-99.08341849187183,82.75,
38,demand,19.384320653680767,-99.14971273210601,81.73,
39,demand,19.45470796318146,-99.12352939796664,148.05,
40,demand,19.425418299248754,-99.11732828544966,84.0,
41,demand,19.387244588181375,-99.19162866520941,24.1,
42,demand,19.432021229213355,-99.113575515358,49.86,
43,demand,19.376726622533827,-99.17183568397563,71.84,
44,demand,19.481718448249453,-99.07787156190366,87.04,
45,demand,19.403653597792005,-99.17536047266962,122.41,
46,demand,19.45210267412248,-99.14344510515276,87.56,
47,demand,19.41000532913073,-99.18295803983057,9.8,
48,demand,19.435008162541337,-99.07357508977849,27.1,
49,demand,19.438205233521195,-99.13293659876025,128.37,
50,demand,19.394782534663065,-99.1217537979216,70.3,
51,demand,19.488950155331747,-99.1851508227134,93.3,
52,demand,19.465615938803335,-99.1032047435521,63.41,
53,demand,19.4853398729877,-99.16801132882853,49.68,
54,demand,19.479979282051318,-99.08543348526712,65.29,
55,demand,19.44434799745733,-99.16858324314217,94.13,
56,demand,19.483224908202775,-99.17031747352037,83.53,
57,demand,19.383219100246233,-99.18881403985823,160.88,
58,demand,19.3961179434903,-99.13655196658681,19.54,
59,demand,19.378027274669268,-99.12541906400848,22.58,
60,demand,19.411639639691593,-99.1853149632686,69.65,
61,demand,19.41924127476274,-99.1001366859966,123.4,
62,demand,19.40516188381287,-99.13880533983024,142.57,
63,demand,19.472048501098232,-99.1302731676807,51.38,
64,demand,19.415410399203232,-99.14030847036742,3.02,
65,demand,19.406312141162488,-99.14510843269497,52.81,
66,demand,19.43772352997899,-99.12604316024301,111.27,
67,demand,19.389510906996975,-99.17457117048832,82.35,
68,demand,19.468863637690486,-99.17136862434057,126.6,
69,demand,19.381546077241573,-99.08978572547838,186.89,
70,demand,19.49102643239206,-99.07966614454396,73.51,
71,demand,19.4652693723156,-99.14840288204643,57.87,
72,demand,19.396445881784103,-99.16071063922277,38.27,
73,demand,19.373262654054834,-99.11592005481133,22.44,
74,demand,19.47045537141458,-99.14415189946823,16.55,
75,demand,19.457422881261714,-99.19015363732076,47.18,
76,demand,19.46008086016492,-99.17446168831606,170.1,
77,demand,19.465152441602314,-99.10728333253832,135.2,
78,demand,19.381485358208092,-99.11412912697078,55.64,
79,demand,19.415615887425314,-99.18994848089959,314.56,
80,demand,19.386504287143016,-99.16656334056805,50.03,
81,demand,19.476172411105072,-99.16547102440944,198.77,
82,demand,19.447395775219306,-99.11257287076815,230.23,
83,demand,19.41230776298232,-99.19083473546948,116.69,
84,demand,19.380227002034324,-99.18070697016185,46.8,
85,demand,19.40991787860588,-99.09721006975522,61.91,
